site_id,site_name,ccamlr_region,longitude_EPSG:4326,latitude_EPSG:4326
WITH,Withem Island,48.1,-59.1381,-62.2352
WOOD,Wood Bay,88.1,165.1332,-74.3299
WOOI,Wood Island,48.1,-60.3042,-62.4841
WORL,Worlds End,48.1,-57.996,-61.856
WOPT,Worley Point,88.2,-132.777,-74.4057
WYAT,Wyatt Earp Islands,58.4.2,78.5385,-68.3569
YALO,Yalour Islands,48.1,-64.1564,-65.2389
YANK,Yankee Harbor,48.1,-59.7687,-62.5257
YOUN,Young Island,88.1,162.4,-66.4167
YTRE,Ytrehovdeholmen,58.4.2,39.4333,-69.2167
ZAWA,Zawadski Stacks,48.1,-58.784,-62.079
ZEDI,Zed Island,48.1,-60.166,-62.433
ZIGZ,Zig Zag Island,48.1,-59.8419,-63.6123
